,i,x_med,y_med,at_med,quality_flag,bathy_conf,sat_flag,sat_check,n_photons,surf_prom,surf_loc,surf_std,decay_param,trans_mult,noise_above,noise_below,bathy_prom,bathy_loc,bathy_std,surf_prom_f,surf_loc_f,surf_std_f,decay_param_f,trans_mult_f,noise_above_f,noise_below_f,bathy_prom_f,bathy_loc_f,bathy_std_f,turb_score
20,20,-75.4975178770439,35.37273919964089,16135645.27993893,3,1.1179141837848914,0,False,998,127.15003168658087,-0.47229823885731087,0.37331155284991263,-0.04231093884210323,2.9171344730331072,0.9995592566330678,1e-31,0.9529415413758282,13.88469325025143,0.13898990298750435,,,,,,,,,,,150.36328144362173
21,21,-75.49790374241773,35.37052916808818,16135892.707523327,3,1.1488406049419597,0,False,1123,134.64722616583387,-0.9075983438312037,0.40380406100922034,-0.05808231289926179,2.7686695304792215,1.0100723524590898,1e-31,0.19726065066670295,11.877389646200973,0.031063708122736778,,,,,,,,,,,189.15528905622074
22,22,-75.49826200776334,35.36844735136634,16136125.686486289,3,1.2785659830427618,0,False,1161,158.78801593761446,-1.096294031869046,0.29887991648152157,-0.044854781422492475,2.9610554312859567,1.8805990841530091,1e-31,1.7772572430792573,35.55392572666127,0.3968028242854882,,,,,,,,,,,158.39354975407872
23,23,-75.49865180748517,35.36616461172581,16136381.219181728,3,1.1354217912703608,0,False,1170,151.5897546622262,-1.1621156022799186,0.2872835859474028,-0.008971853185689056,3.104945926716514,3.145478227702017,1e-31,1.5952160382378258,23.974121187397902,0.1423745121402362,,,,,,,,,,,197.74815274745157
24,24,-75.49905274041602,35.36391672951883,16136632.933055457,3,1.0928742013923791,2,True,1254,181.30785918513962,-1.4554250366615418,0.2953894301137179,-0.048238221955273566,2.901254793274022,2.7677899740049545,1e-31,2.468329582209831,49.84020581356619,0.21659919617709286,,,,,,,,,,,202.98363282302338
25,25,-75.49945162047112,35.36157234092667,16136895.31562719,3,1.2041514706405254,0,False,1199,116.69298020420041,-1.434160086213151,0.3155366425321112,-0.02007369326946567,2.953698158542872,3.091362239431276,1e-31,2.3670857875254483,42.863357527869375,0.26562950062467006,,,,,,,,,,,188.89658093250347
26,26,-75.49981052838027,35.359504873347774,16137126.70718996,3,1.232280022594254,0,False,1370,175.4211235765817,-1.6348000416060562,0.3134201629652283,-0.039653778879869914,2.9098319373316115,3.288599747651717,1e-31,2.123202516072261,19.210125266872655,0.14990965889442223,,,,,,,,,,,222.5350162476813
27,27,-75.50020333617276,35.357230597555564,16137381.314294169,3,1.0393829948808635,0,False,1277,174.4031516422302,-1.3307419378991299,0.2666410654254381,-0.03226618392774349,3.015289481824911,2.374669113001619,1e-31,1.2023498095735041,10.031622280598006,0.21741214920149868,,,,,,,,,,,184.25933817147978
28,28,-75.50059354453909,35.354923119242734,16137639.53677331,3,1.0770104225357688,0,False,1251,51.59888525017324,-2.3597918485296656,0.9264556370473855,-0.015096207222153612,2.6898211855472436,4.792277367612103,1e-31,2.179970931670636,16.62981191563679,0.22671935475741392,,,,,,,,,,,193.5104954348593
29,29,-75.50098433614826,35.352660415640514,16137892.888827385,3,1.5283560013265318,0,False,1263,247.91505128572774,-1.3581605654311657,0.2801294514082265,-0.051658776817974775,3.0057532179038153,1.5674952338745523,1e-31,2.1749324130311893,48.35490454708554,0.5810599695587005,,,,,,,,,,,194.0044980238087
30,30,-75.501360521448,35.350440257446124,16138141.294791328,3,1.246353515988263,0,False,1488,130.32248545596826,-1.4237521640427266,0.29185820911923455,-0.008642085237579936,3.039146997703707,6.43162591517704,1e-31,8.05577424900211,12.000036784769238,0.06180936164723781,,,,,,,,,,,210.49577949461798
31,31,-75.50173624037049,35.34820003587173,16138391.927012218,3,1.1323924430179944,0,False,1300,161.47314395749336,-1.625354415344585,0.34657837236667827,-0.010081637485685777,3.104636889636837,2.443266205293502,1e-31,1.9192186656667731,31.755609384448082,0.3187338543910944,,,,,,,,,,,206.21911223919003
32,32,-75.50209983880673,35.34608017267589,16138629.235043919,3,22.650072734187283,0,False,1579,61.517314921977565,-4.713677123990665,0.3228571159599114,-0.05956744814670776,2.242478062927811,5.794483720232222,1e-31,72.85030122162834,-1.8208702397429504,0.5111836300666995,,,,,,,,,,,321.04960087383296
33,33,-75.50249118195345,35.34375740566785,16138889.145884989,3,1.2642704720471907,0,False,1967,127.60369974395569,-2.323629647255219,0.5655399286520782,-0.037750236737859585,2.6770877232458865,2.45706481206932,1e-31,1.5051712483078659,11.082856540212681,0.11864142027142023,,,,,,,,,,,319.60281808626894
34,34,-75.5028571856648,35.341592596086265,16139131.410112256,3,1.343065604032333,0,False,2022,139.8893185107794,-2.655270013848465,0.7407394442751198,-0.03465001924370183,2.75670482486329,1.5201460228109074,1e-31,2.8659084114358526,49.09972915006306,0.23690631415241944,,,,,,,,,,,297.3889071406253
35,35,-75.50322210259728,35.33934955070616,16139382.313800622,3,1.19185164609936,0,False,1696,115.98042114909822,-1.0021241936208225,0.797570952219879,-0.04365548298422483,2.673116409349877,1.4767661378351102,1e-31,1.9648415246313191,45.477996966786314,0.8445269178109281,,,,,,,,,,,261.4811228622811
36,36,-75.50359790356876,35.33708185845193,16139635.969252678,3,1.0328708584714232,0,False,1538,216.31410383812502,0.6051770039581882,0.3662673313957842,-0.11365509258951728,2.5227475147149754,1.0004407433669325,1e-31,1.835999199546289,34.35510570727867,1.9564772845542093,,,,,,,,,,,315.67799354518985
37,37,-75.50396476992681,35.33485426542524,16139885.191642985,3,1.3834420815665138,0,False,1183,168.46854845696714,0.7240807045344929,0.31731310567128995,-0.12002149584622844,2.3730504241449335,0.9557386282903382,1e-31,1.7971274545911595,19.309100836931158,0.20134078601865396,,,,,,,,,,,334.18223663030375
38,38,-75.50434519609763,35.33255292694297,16140142.674426978,3,1.0003238216675066,0,False,1182,170.08643605319617,0.7293497163407662,0.31939642960948916,-0.10846289980153999,2.467153439891144,0.7495585976867036,1e-31,2.6045208142296326,39.464957671732044,0.36000416775189825,,,,,,,,,,,298.0227543869061
39,39,-75.50467696874668,35.330446650811616,16140378.159121424,3,1.3003181635955694,0,False,1219,166.02258520369037,0.7019017230752183,0.29986953082882717,-0.10084379959418611,2.4844137980302663,0.7822036972602847,1e-31,2.5046244793780494,34.738801097508386,0.5424250195309384,,,,,,,,,,,296.9372298443839
40,40,-75.50504661784132,35.328180046323105,16140631.623148736,3,1.0919655887854913,0,False,1015,121.53060462478865,0.6975022680706691,0.28559677411132384,-0.08750141233386095,2.440503756279525,0.9993388849496017,1e-31,2.060299347617685,20.19531430149407,0.19955668444194705,,,,,,,,,,,276.11673191612647
41,41,-75.50541574737942,35.32589082933886,16140887.693860348,3,1.0100543820939347,0,False,1066,161.7970319557462,0.7192997886806306,0.29521461808365973,-0.11534870592270667,2.384705759389248,0.5880820000523916,1e-31,1.6285147658537427,41.67579288499477,1.648387919257099,,,,,,,,,,,322.6003726195188
42,42,-75.50575917990544,35.3236886104027,16141133.897450674,3,1.010266264221677,0,False,1048,164.7053533056084,0.6706285466149304,0.2996320402785249,-0.1110515322109455,2.463020975039879,0.773014149427788,1e-31,1.445427904007185,10.583165018617557,0.020430501196766516,,,,,,,,,,,281.5211091218229
43,43,-75.5061231718489,35.321411079405514,16141388.563546583,3,1.164325843420051,0,False,1133,164.9549374962905,0.700622519263942,0.3176307604404694,-0.13527728603287417,2.323452549043395,0.7502197127371022,1e-31,1.609867491385767,31.997178161181616,0.5662658328282675,,,,,,,,,,,324.86615755958996
44,44,-75.50647176229124,35.319179307996734,16141638.056479184,3,1.072177057868496,0,False,1058,162.50233080550623,0.7600875607187653,0.32261258135368936,-0.110419337070645,2.482854191981563,0.5210275095447721,1e-31,2.2514136800820372,47.423986232027545,0.6569132509642529,,,,,,,,,,,270.46796925060727
45,45,-75.50682404103377,35.3169597235455,16141886.258177977,3,1.009466973334962,0,False,1090,196.39002943335336,0.7289079872885355,0.3010958054866891,-0.12250298533873957,2.4842591174292137,0.7274279118318727,1e-31,1.9631258860948189,31.198682612204777,0.3664479973904341,,,,,,,,,,,291.4141481384492
46,46,-75.50716404308866,35.314745321257924,16142133.760515133,3,1.0688136161057276,0,False,1080,178.11452061995237,0.7161851640684779,0.3270342800236846,-0.10782089764205396,2.586884775316922,0.7269871684649404,1e-31,2.666980697910419,25.061596484871597,0.22719281797563395,,,,,,,,,,,233.06594173505414
47,47,-75.50752313096731,35.312490174067165,16142385.913096637,3,1.007290988349054,0,False,938,141.7726332579337,0.6796780140041355,0.2932299806362897,-0.10089442826078533,2.3940253260485402,0.5013235479935253,1e-31,1.4513474113729816,17.194102207659466,0.15315737481551023,,,,,,,,,,,313.8866972726736
